WARNING: memory.v:27: $readmemh(memory.mem): Not enough words in the file for the requested range [0:1023].
VCD info: dumpfile saida.vcd opened for output.
X0 : 00000000, X1 : 00000000, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000000, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000000, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000000, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000000, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
*** Starting simulation. ***
X0 : 00000000, X1 : 00000000, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000000, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000000, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000000, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000001, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000001, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000001, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000001, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000002, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000002, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000002, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000002, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000003, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000003, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000003, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000003, X2 : 00000000, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000003, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000003, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
X0 : 00000000, X1 : 00000003, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 00000000, X20 : 00000000
